name,nmol,charge,massdiff,oidscore,quasi,ips
[M+H]+,1,1,1.007276455,1,1,1
[2M+H]+,2,1,1.007276455,1,0,0.5
[3M+H]+,3,1,1.007276455,1,0,0.25
[4M+H]+,4,1,1.007276455,1,0,0.25
[M+2H]2+,1,2,2.014552,2,0,0.75
[2M+2H]2+,2,2,2.014552,2,0,0.5
[3M+2H]2+,3,2,2.014552,2,0,0.25
[4M+2H]2+,4,2,2.014552,2,0,0.25
[M+3H]3+,1,3,3.021828,3,0,0.75
[2M+3H]3+,2,3,3.021828,3,0,0.5
[3M+3H]3+,3,3,3.021828,3,0,0.25
[4M+3H]3+,4,3,3.021828,3,0,0.25
[M+Na]+,1,1,22.989218,8,1,1
[M+2Na-H]+,1,1,44.97116,34,0,0.5
[2M+Na]+,2,1,22.989218,8,0,0.5
[2M+2Na-H]+,2,1,44.97116,34,0,0.25
[3M+Na]+,3,1,22.989218,8,0,0.25
[3M+2Na-H]+,3,1,44.97116,34,0,0.25
[4M+Na]+,4,1,22.989218,8,0,0.25
[4M+2Na-H]+,4,1,44.97116,34,0,0.25
[M+K]+,1,1,38.963158,10,1,1
[M+2K-H]+,1,1,76.91904,60,0,0.5
[2M+K]+,2,1,38.963158,10,0,0.5
[2M+2K-H]+,2,1,76.91904,60,0,0.25
[3M+K]+,3,1,38.963158,10,0,0.25
[3M+2K-H]+,3,1,76.91904,60,0,0.25
[4M+K]+,4,1,38.963158,10,0,0.25
[4M+2K-H]+,4,1,76.91904,60,0,0.25
[M+H+Na]2+,1,2,23.996494,4,0,0.5
[M+2Na]2+,1,2,45.978436,9,0,0.5
[2M+H+Na]2+,2,2,23.996494,4,0,0.5
[2M+2Na]2+,2,2,45.978436,9,0,0.5
[3M+H+Na]2+,3,2,23.996494,4,0,0.25
[3M+2Na]2+,3,2,45.978436,9,0,0.25
[4M+H+Na]2+,4,2,23.996494,4,0,0.25
[4M+2Na]2+,4,2,45.978436,9,0,0.25
[M+H+K]2+,1,2,39.970434,6,0,0.5
[M+2K]2+,1,2,77.926316,13,0,0.5
[2M+H+K]2+,2,2,39.970434,6,0,0.5
[2M+2K]2+,2,2,77.926316,13,0,0.5
[3M+H+K]2+,3,2,39.970434,6,0,0.25
[3M+2K]2+,3,2,77.926316,13,0,0.25
[4M+H+K]2+,4,2,39.970434,6,0,0.25
[4M+2K]2+,4,2,77.926316,13,0,0.25
[M+Na+K]2+,1,2,61.952376,11,0,0.5
[2M+Na+K]2+,2,2,61.952376,11,0,0.5
[3M+Na+K]2+,3,2,61.952376,11,0,0.25
[4M+Na+K]2+,4,2,61.952376,11,0,0.25
[2M-2H+Fe3+]+,2,1,53.92038509,19,0,0.5
[3M-2H+Fe3+]+,3,1,53.92038509,20,0,0.5
[4M-2H+Fe3+]+,4,1,53.92038509,21,0,0.5
[M+H+NaCl]+,1,1,58.96589688,22,0,0.5
[M+H+(NaCl)2]+,1,1,116.9245173,23,0,0.5
[M+H+KCl]+,1,1,74.93983658,24,0,0.5
[M+H+(CH3)2CO-H2O]+ (acetone cond.),1,1,41.038576,25,0,0.5
[M+H+CHOONa]+,1,1,68.99524703,26,0,0.5
[M+H-HCOOH]+,1,1,-44.99820287,85,0,0.75
[M+H-NH3]+,1,1,-16.01927265,86,0,0.75
[M+H-H2O]+,1,1,-17.00328824,87,0,0.75
[M+H-COCH2]+,1,1,-41.003288,88,0,0.75
[M+H-CO2]+,1,1,-42.9825528,89,0,0.75
[M+H-NH3-CO2]+,1,1,-60.00910191,90,0,0.75
[M+H-NH3-HCOOH]+,1,1,-62.02475198,91,0,0.75
[M+H-NH3-H2O]+,1,1,-34.02983735,92,0,0.75
[M+H-NH3-COCH2]+,1,1,-58.02983735,93,0,0.75
[M+H-S]+,1,1,-30.96479424,94,0,0.75
[M+H-S-NH3-HCOOH]+,1,1,-93.99682268,95,0,0.75
[M+H-(H2O)2]+,1,1,-35.01385294,96,0,0.75
[M+H-CH2]+,1,1,-13.00837361,97,0,0.75
[M+H-O]+,1,1,-14.98763817,98,0,0.75
[M+H-C2H2]+,1,1,-25.00837361,99,0,0.75
[M+H-C2H4]+,1,1,-27.02402368,100,0,0.75
[M+H-CO]+,1,1,-26.98763817,101,0,0.75
[M+H-C3H6]+,1,1,-41.03967375,102,0,0.75
[M+H-C2H4O]+ (McLafferty),1,1,-43.01893831,103,0,0.75
[M+H-C4H6]+,1,1,-53.03967375,104,0,0.75
[M+H-C3H4O]+,1,1,-55.01893831,105,0,0.75
[M+H-C4H8]+,1,1,-55.05532382,106,0,0.75
[M+H-C5H8]+,1,1,-67.05532382,107,0,0.75
[M+H-C4H6O]+,1,1,-69.03458838,108,0,0.75
[M+H-C5H10]+,1,1,-69.07097389,109,0,0.75
[M+H-C6H12]+,1,1,-83.08662396,110,0,0.75
[M+H-C4H8O2]+,1,1,-87.04515308,111,0,0.75
[M+H-H2O-HCOOH]+,1,1,-63.00876757,112,0,0.75
[M+H-CH4]+,1,1,-15.02402368,113,0,0.75
[M+H-CH2O]+,1,1,-29.00328824,114,0,0.75
[M+H-C2H6]+,1,1,-29.03967375,115,0,0.75
[M+H-CH3OH]+,1,1,-31.01893831,116,0,0.75
[M+H-C3H4]+,1,1,-39.02402368,117,0,0.75
[M+H-C3H6O]+,1,1,-57.03458838,118,0,0.75
[M+H-CO2-C3H6]+,1,1,-85.02950302,119,0,0.75
[M+H-SO3]+,1,1,-78.94953814,120,0,0.75
[M+H-SO3-H2O]+,1,1,-96.96010284,121,0,0.75
[M+H-SO3-H2O-NH3]+,1,1,-113.9866519,122,0,0.75
[M+H-NH3-C3H4]+,1,1,-56.0505728,123,0,0.75
[M+H-H2O-CO2]+,1,1,-60.99311751,124,0,0.75
[M+H-H2O-H2O-C2H4O (McLafferty)]+,1,1,-79.04006772,125,0,0.75
[M+H-NH3-CO-CO]+,1,1,-72.00910192,126,0,0.75
[M+H-NH3-CO-COCH2]+,1,1,-86.02475199,127,0,0.75
[M+H-C8H6O]+,1,1,-117.0345883,128,0,0.75
[M+H-C8H6O-NH3]+,1,1,-134.0611374,129,0,0.75
[M+H-C8H6O-H2O]+,1,1,-135.045153,130,0,0.75
[M+H-C2H2O2]+,1,1,-56.99820288,131,0,0.75
[M+H-C2H4O2]+,1,1,-59.01385295,132,0,0.75
[M+H-C5H8O]+,1,1,-83.05023846,133,0,0.75
[M+H-NH3-CO2-CH2O]+,1,1,-90.01966661,134,0,0.75
[M+H-NH3-CO2-NH3-H2O]+,1,1,-95.04621572,135,0,0.75
[M+H-NH3-CO2-C3H4O]+,1,1,-116.0353167,136,0,0.75
[M+H-NH3-CO2-C5H8]+,1,1,-128.0717022,137,0,0.75
[M+H-HCOOH-HCOOH]+,1,1,-91.00368221,138,0,0.75
[M+H-C2H4-CO2]+,1,1,-71.01385295,139,0,0.75
[M+H-C2H4-HCOOH]+,1,1,-73.02950302,140,0,0.75
[M+H-NH3-H2O-H2O]+,1,1,-52.04040205,141,0,0.75
[M+H-H2O-C2H2O2]+,1,1,-75.00876758,142,0,0.75
[M+H-COCH2-C4H8]+,1,1,-97.06588853,143,0,0.75
[M+H-NH3-NH3-C3H4]+,1,1,-73.0771219,144,0,0.75
[M+H-C2H4O2-CH3OH]+,1,1,-91.04006772,145,0,0.75
[M+H-C3H6O-CH3OH]+,1,1,-89.06080316,146,0,0.75
[M+H-NH3-CO-COCH2-C4H6O]+,1,1,-156.0666168,147,0,0.75
[M+H-C4H6-H2O]+,1,1,-71.05023846,148,0,0.75
[M+H-C4H6-C2H4]+,1,1,-81.0709739,149,0,0.75
[M+H-C4H6-NH3-H2O]+,1,1,-88.07678756,150,0,0.75
[M+H-C4H6-COCH2]+,1,1,-95.05023846,151,0,0.75
[M+H-C4H6-C4H6O]+,1,1,-123.0815386,152,0,0.75
[M+H-C3H4O-C4H6]+,1,1,-109.0658885,153,0,0.75
[M+H-C3H4O-C4H8O2]+,1,1,-143.0713679,154,0,0.75
[M+H-C4H8-C4H6]+,1,1,-109.102274,155,0,0.75
[M+H-NH3-HCOOH-CH3OH]+,1,1,-94.05096675,156,0,0.75
[M+H-NH3-C2H6]+,1,1,-46.06622286,157,0,0.75
[M+H-NH3-C8H6O-CH2]+,1,1,-148.0767876,158,0,0.75
[M+H-NH3-C3H4-COCH2]+,1,1,-98.06113749,159,0,0.75
[M+H-C3H9N]+,1,1,-58.06622286,160,0,0.75
[M+H-C3H9N-C2H4O2]+,1,1,-118.0873523,161,0,0.75
